date,state,region_code,region_name,lat,long,hospitalized_with_symptoms,intensive_care,total_hospitalized,home_isolation,total_positives,new_positives,intensive_care_admissions,discharged_recovered,deceased,total_cases,daily_discharged_recovered,daily_deceased,daily_total_cases,hospitalized_with_symptoms_normalized_per_region_name,intensive_care_normalized_per_region_name,total_hospitalized_normalized_per_region_name,home_isolation_normalized_per_region_name,total_positives_normalized_per_region_name,new_positives_normalized_per_region_name,intensive_care_admissions_normalized_per_region_name,daily_discharged_recovered_normalized_per_region_name,daily_deceased_normalized_per_region_name,daily_total_cases_normalized_per_region_name
2020-02-26 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0038994800693240897,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0.0,1,1,1,0,0,0,0.002053388090349076,0.0,0.0018867924528301887,0.0,3.7470023980815345e-05,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0.0,1,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0014641288433382138,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0.0,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0.0,1,1,2,0,0,0,0.001091703056768559,0.0,0.0009398496240601503,0.0,1.0759745639613079e-05,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,2,3,0,0.0,2,2,3,0,0,0,0.0006234413965087282,0.0,0.0005414185165132648,7.210455159981974e-06,1.0760478913048157e-05,0.00014014434867913952,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,16,Puglia,41.12559576,16.86736689,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,1,Piemonte,45.0732745,7.680687483,2,0,2,1,3,0,0.0,3,2,2,0,0,0,0.0,0.0,0.0,5.7688092024044395e-06,5.694144710993683e-06,0.0004886868983042564,0.0,0.0,0.0,0.0
2020-02-26 18:00:00,ITA,10,Umbria,43.10675841,12.38824698,0,0,0,0,0,0,0.0,2,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,11,Marche,43.61675973,13.5188753,2,1,3,0,3,2,0.0,2,1,3,0,0,2,0.001998001998001998,0.005917159763313609,0.0025684931506849314,0.0,0.00010859728506787331,0.0006402868485081317,0.0,0.0,0.0,0.00025621316935690495
2020-02-27 18:00:00,ITA,22,P.A. Trento,46.06893511,11.12123097,0,0,0,0,0,0,0.0,2,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,7,Liguria,44.41149315,8.9326992,9,0,9,10,19,8,0.0,4,1,19,0,0,8,0.006419400855920115,0.0,0.005960264900662251,0.0002105307480157477,0.0003937089454816718,0.002692804825506247,0.0,0.0,0.0,0.00044797849703214247
2020-02-27 18:00:00,ITA,12,Lazio,41.89277044,12.48366722,0,0,0,0,0,0,0.0,3,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,6,Friuli Venezia Giulia,45.6494354,13.76813649,0,0,0,0,0,0,0.0,3,1,6,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,18,Calabria,38.90597598,16.59440194,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0038994800693240897,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,15,Campania,40.83956555,14.25084984,2,0,2,1,3,3,0.0,1,1,3,0,0,0,0.000858000858000858,0.0,0.0007898894154818325,3.95835807307129e-06,1.180735125689254e-05,0.007664100954709127,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,17,Basilicata,40.63947052,15.80514834,0,0,0,0,0,0,0.0,1,1,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.010396361273554255,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,13,Abruzzo,42.35122196,13.39843823,1,0,1,0,1,1,0.0,4,1,1,0,0,0,0.0014005602240896359,0.0,0.0012658227848101266,0.0,8.42410304362843e-06,0.0001825150574922431,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,8,Emilia-Romagna,44.49436681,11.3417208,36,6,42,54,96,50,0.0,4,1,97,0,0,50,0.0066090493136756485,0.014925373134328358,0.006979990693345743,0.00012056424064622431,0.00019457436856875585,0.0012977574750830565,0.0,0.0,0.0,0.0012977911594466219
2020-02-27 18:00:00,ITA,19,Sicilia,38.11569725,13.362356699999998,1,0,1,1,2,1,0.0,2,2,4,0,0,1,0.0006234413965087282,0.0,0.0005414185165132648,3.605227579990987e-06,7.173652608698771e-06,0.00021021652301870928,0.0,0.0,0.0,2.029879831113998e-05
2020-02-27 18:00:00,ITA,21,P.A. Bolzano,46.49933453,11.35662422,1,0,1,0,1,0,0.0,1,1,1,0,0,0,0.002053388090349076,0.0,0.0018867924528301887,0.0,3.7470023980815345e-05,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,20,Sardegna,39.21531192,9.110616306,0,0,0,0,0,0,0.0,3,2,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.00044772778150884264,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,9,Toscana,43.76923077,11.25588885,2,0,2,0,2,0,0.0,1,1,2,0,0,0,0.001091703056768559,0.0,0.0009398496240601503,0.0,1.0759745639613079e-05,0.0,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,2,Valle d'Aosta,45.73750286,7.320149366,0,0,0,0,0,0,0.0,1,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0014641288433382138,0.0,0.0,0.0,0.0
2020-02-27 18:00:00,ITA,5,Veneto,45.43490485,12.33845213,19,8,27,82,109,40,0.0,7,2,111,0,0,40,0.002593553167839941,0.021505376344086023,0.0035971223021582744,0.0002298258198862014,0.00026663250077046404,0.0015894460780418026,0.0,0.0,0.0,0.0008183306055646482
2020-02-27 18:00:00,ITA,14,Molise,41.55774754,14.65916051,0,0,0,0,0,0,0.0,5,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
